Reviews	Whom	when 	Where	Occasion						
This place gets pretty busy even during the week. I can tell they love what they do here. The attitude is just right and so is the food. Cheers!	0	0	0	0	0					
"I put off writing a review here for almost two years because I didn't want to blow up my first date spot. But it's time to share the goodness that is Wolf & Deer as either a date meeting place or the perfect place to have an intimate catchup with a close friend. It's less ideal for a gathering with a small group of friends (anything over 4 and it feels cramped), but conversely I would recommend having a few people so that you can try ALL of the cheeses and charcuterie. If your stomach space for these items is more limited, the bartenders are all very knowledgeable about good pairings (and which wine and other drinks to try them with). The mustard and jam as accompaniments are also crucial and they will keep the bread coming as needed.The happy hour deals here are pretty good, but the generous offering is that it goes until 8pm. You can usually still get a seat at 6pm and a few cocktails here make an excellent warmup for dinner down the block at Convivium Osteria (or Shake Shack or Artichoke).The horseshoe-shaped bar can feel a little tight on the side with the bathroom, so I would recommend sitting on the other side or closer to the curve. There's also some tall table spots by the windows if you don't want to the bartender to hear your awkward first-date conversation."	0	0	0	1	1					
"Went here last week and loved it! The cocktails were very well crafted-- we tried the blueberry mojito, the spicy margarita, and the gin cocktail. All were amazing!!! My favorite was the spicy margarita it had a ghost pepper chili salt, and a slight mole flavor...it was a perfect balance of acidity, spice, and sweetness. The bartender was attentive and kind and the bar itself was very nice. I would totally come back!"	0	0	0	0	0					
"Once upon a time ... It was a shadowy night in Park Slope Brooklyn. The rain glistened quiet on the sidewalk with small specks of gold to Wolf and Deer.Without a sign, and empty with the lights on before 5pm, the bar was unrecognizable in a shelled infancy. It almost looked like a banquet room for a neighboring restaurant.5:05pmThree people had now arrived, the lights dim, as a royal blue dusk, and shadows of trees listened to birds over head.The bartender handed me a book. I flipped through the pages until I came to ""happy hour"".$6 happy hour red wines came in two varietals. I chose montepulciano which came a ruby grape red in a healthy 8 ounce pour, with a balanced taste of sweet fruit and dry, with smoky earth. Vines curled around me, blossoming small white flowers that seemed to hum.I turned the page to the Lost Boy Kitchen where Little Red Riding Hood bruschetta, with shrimp, tarragon and marscapone, and three little pigs say macaroni and cheese with a jalapeo and prosciutto add on option plucked at my heartstrings to be beat by the happy hour charcuterie special of any 3 meats and or cheeses for $12. I didnt have time to read the ample cheese menu, with over 10, but instead focused on meat, and chose wagyu beef, duck and prosciutto.  The meat, like the wine was of good quality and a great value in such a large portion. I saw a page full of whiskeys, a page full of beers, and a page full of craft cocktails all affordably priced. A waterfall poured behind me into a crystal pool with dancing gold salamanders on rocks as happy fish swam underneath lily pads. The humans multiplied in numbers at this packed small modern yet old world cozy feeling bar.With $9 craft cocktails, $12 charcuterie boards and $6 wines happy hour is not to be missed if you are in Park Slope.I sprouted large strong wings and a gold brick path beckoned before me to another world.And I lived happily ever after."	0	1	0	0	1					
Who is the genius that invented the mastic cocktail? Tell me! For the most part I found the cocktails to be a little watered down. The over use of crushed ice in the summer will do that. But the forth star was earned when we had a carrot concoction that used a little known Greek liquor. It's a cute spot and gets the job done.	0	0	0	0	0					
"This place has a fantastic vibe! I had some time to kill around the area and was looking for a place to go. Wolf and Deer seemed to have the best wine list out of every place within reasonable walking distance so I chose to go here. When I first walked in, on a Saturday night, it was packed and I thought it was some hipster place... but the crowd thinned out a bit and the vibe changed a bit.The wine list was pretty good... Not quite wine bar standard, but there were some decent options, better than what most bars tend to have. The atmosphere was great, the staff was friendly and not afraid to moderate the situation and cut people off if they are drinking too much, which I appreciate as a woman going out alone.What I really admired looking at though was their cocktail list. There were so many unique creations based on literature, and it was such a fun and unique concept, and reminded me of a library and bar I used to go to in Japan that had a similar theme.I'm not much of a cocktail person at all and prefer to drink wine, but even I was tempted to try one...I will definitely be back, probably for wine, unless I give into the temptation which is their rather impressive seeming cocktail list."	0	1	0	0	1					
"I really like the fairytale/ bedtime story theme the bar has. The menu is attached to a story book. We went here for happy hour. Unfortunately, they went away with their happy hour meal deals and did not update their menus which was a bummer. I think the bartender said in they are in the process of re-doing it. The paninis are delicious. I got the ""three little pigs"" without cheese. It had prosciutto and salami with side arugula salad and potato chips. My friends order the grilled cheese and they loved it. So that's another option for the cheese lovers. The ""don't fear the reaper"" is a must have drink too. The place is slightly small, its the bar with chairs surrounding it like a U."	1	1	0	0	2					
"BK nights walking up 5th Ave after dinner with my IN-Loves (inlaws) and as we peeked in several bars the Vibe was amiss until we peeked into this place and felt the vibe that encouraged us to pop a squat at the bar. We sat at the bar and Kelsey was in action working the bar with the various customers some being regulars and others newbies like us. Across the bar was a friendly smile from this young man who was indulging in hot wings sitting next to a nice older Asian guy. He sparked up convo and we cracked jokes while ordering our drinks with his help as well as Kelsey help. Later after his hot wing feast we learned his name is Gavin and he is a bartender as well. We ended up with 2 A Peck of Pepper and 1 Flowers in the Attic all made by Kelsey. Our drinks were amazing and we met some cool people in the process at the bar even a local restaurant owner who's restaurant we will try next week. This place is small, trendy, smooth and appealing all wrapped up in a ball of Oooohh YEAH .."	1	1	0	0	2					
"In theory I'd really really like this place. They have craft cocktails, an amazing layout and a phenomenal cocktail program. Bonus points, if you're a Yelp cashback person, you get money back AND this place also offers miles for those that register their card for Delta dining. That said it's quite small which means when it gets busy folks are breathing down your neck for a seat and not all bartenders are the same when it comes to a friendly, pleasant experience. While one was charming and pleasant, the other didn't seem keen to help others. Often very transactional, and seemingly like we were the ones burdening them. Perhaps that bartender was having a bad day. Perhaps it was just a busy time (although their not-quite-warm nature expended to slow times as well), but if you're looking for a no-frills, craft-made cocktail with a ton of aide benefits, come here!"	0	0	0	0	0					
"Stopped in for their happy hour tonight and it was so fun! From the bartenders to the customers, everyone was friendly and welcoming. Their oysters were fresh (I think I ate 6 in 2 minutes). I ordered the cocktail named ""don't fear the reaper"" and my bf ordered the ""bad apple."" The bad apple was very strong. Rum smacked my taste buds as I took my first sip. The reaper drink reminded me of a mojito because of the mint (my favorite). I will definitely be back for oyster night!"	1	1	0	0	0					
